"","Q8","STEM_Non-STEM","satacad","satlife","satoverall","respect9","intclimate10","socclimate11","collegial12","sameuniv13","samefield14","recommend15","curriculum16","teaching17","advising18","candidacy19","interdisc20","employment21","progqual22","Q21","Q22","Q23","Q24","finance","infotech","space","library","lab","htopicadv","hresearchadv","hwritingadv","hacadadv","hnonacadadv","hemployadv","Q32","Q33","htopicmen","hresearchmen","hwritingmen","hacadmen","hnonacadmen","hemploymen","Q38","Q39","Q40","Q42","Q43","Q45","Q46","Q47","Q48","Q49","Q78","Q90_1","Q90_2","Q92_1","Q99","sameuniv91","samefield92","recommend93","curriculum94","teaching95","advising96","candidacy97","interdisc98","employment99","progqual100","respect101","intclimate102","socclimate103","collegial104","workcomm","family","availfac","progreq","coursesched","immigration","Sex_ANOVA_Code","Citizenship_ANOVA_Code","Hispanic_Latino_ANOVA_Code","Race_Ethnicy_ANOVA_Code","Underrepresented"
"304","College E","Non-STEM","Excellent","Good","Very good","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Probably","Definitely","Definitely","Excellent","Excellent","Good","Good","Very good","Fair","Very good","Yes, but I did not attend",NA,"Yes","Yes","Poor","Fair","Very Good","Excellent","N/A","Somewhat helpful","Not very helpful","Somewhat helpful","Not very helpful","Not very helpful","Not at all helpful","Yes","No","Very helpful","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Yes","Very helpful","No","No",NA,"8","10","Yes","3","1","Seeking position but have no specific prospects","Non-profit and membership organizations",NA,"Healthcare Practitioners","No","Probably","Probably","Definitely","Excellent","Excellent","Good","Good","Very good","Fair","Very good","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Not an obstacle","A minor obstacle","A minor obstacle","A minor obstacle","A minor obstacle","A major obstacle",2,2,2,5,"Non-Underrespresented Group"
"305","College B","STEM","Very good","Very good","Very good","Agree","Agree","Agree","Strongly Agree","Definitely","Definitely","Definitely","Very good","Very good","Excellent","Very good","Fair","Good","Very good","Yes, and I attended","Very Effective","Yes","No","Very Good","Excellent","Very Good","Very Good","Very Good","Very helpful","Very helpful","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Yes","No","Somewhat helpful","Very helpful","Very helpful",NA,"Somewhat helpful","Somewhat helpful","Yes","Very helpful","No","Yes","Very helpful","4","7","Yes","3","1","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education","University-affiliated research institute","Scientists, Social Scientists","Yes","Definitely","Definitely","Definitely","Very good","Very good","Excellent","Very good","Fair","Good","Very good","Agree","Agree","Agree","Strongly Agree","A minor obstacle","Not an obstacle","Not an obstacle","A minor obstacle","Not an obstacle","Not applicable",1,1,2,5,"Non-Underrespresented Group"
"306","College C","STEM","Very good","Good","Very good","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Probably","Definitely","Definitely","Fair","Fair","Good","Fair","Excellent","Very good","Very good","Yes, and I attended","Somewhat Effective","Yes","No","Excellent","Good","Fair","Good","Excellent","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Somewhat helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Very helpful","Yes","Yes","Very helpful","3","6","Yes","1","1","Negotiating with one or more specific organizations","Education",NA,"Scientists, Social Scientists","Yes","Probably","Definitely","Definitely","Fair","Fair","Very good","Fair","Excellent","Very good","Very good","Agree","Strongly Agree","Strongly Agree","Agree","A minor obstacle","A major obstacle","A minor obstacle","A minor obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"307","College F","STEM","Very good","Good","Very good","Strongly Agree","Agree","Ambivalent","Ambivalent","Probably","Probably not","Definitely","Fair","Very good","Excellent","Very good","Excellent","Excellent","Excellent","Yes, and I attended","Somewhat Effective","Yes","No","N/A","Good","Excellent","Excellent","Excellent","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","No","Yes","Somewhat helpful","10","20","Yes","8","2","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Architecture and Engineering Occupations","Yes","Probably","Probably not","Definitely","Good","Very good","Excellent","Excellent","Excellent","Excellent","Excellent","Strongly Agree","Agree","Ambivalent","Ambivalent","A minor obstacle","A minor obstacle","Not an obstacle","A minor obstacle","A minor obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"308","College C","STEM","Excellent","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Definitely","Definitely","Definitely","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Yes, and I attended","Very Effective","Yes","Yes","Very Good","Excellent","Excellent","Excellent","Excellent","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Very helpful","Yes","Yes","Very helpful","1","2","Yes","1","1","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education","4-year college or university","Scientists, Social Scientists","No","Definitely","Definitely","Definitely","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Not an obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",2,2,2,1,"Non-Underrespresented Group"
"309","College C","Non-STEM","Very good","Good","Very good","Strongly Agree","Agree","Agree","Strongly Agree","Probably","Maybe","Probably","Good","Very good","Excellent","Very good","Excellent","Very good","Very good","Yes, and I attended","Very Effective","Yes","Yes","Good","Very Good","Very Good","Very Good","N/A","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Very helpful","Yes","Yes","Somewhat helpful","2","around 8","Yes","3","0","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education","University-affiliated research institute","Education, Training, and Library Occupations","No","Probably","Maybe","Probably","Good","Very good","Excellent","Very good","Excellent","Very good","Very good","Strongly Agree","Agree","Agree","Strongly Agree","A major obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not applicable",2,1,2,5,"Non-Underrespresented Group"
"310","College C","Non-STEM","Good","Fair","Good","Agree","Disagree","Ambivalent","Disagree","Maybe","Definitely","Probably not","Very good","Good","Very good","Good","Fair","Poor","Good","Yes, and I attended","Somewhat Effective","No","No","Fair","N/A","Fair","Fair","N/A","Very helpful","Very helpful","Very helpful","Very helpful","Not at all helpful","Somewhat helpful","Yes","Yes","N/A - I did not receive advice on this","Somewhat helpful","Somewhat helpful","Very helpful","Not at all helpful","Not very helpful","Yes","Very helpful","No","Yes","Very helpful","3","15","Yes","7","1","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education",NA,"Scientists, Social Scientists","Yes","Maybe","Definitely","Probably not","Good","Very good","Very good","Fair","Poor","Fair","Good","Agree","Disagree","Ambivalent","Disagree","A major obstacle","A major obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,2,2,5,"Non-Underrespresented Group"
"311","College C","STEM","Very good","Fair","Fair","Ambivalent","Agree","Disagree","Disagree","Maybe","Probably","Maybe","Excellent","Very good","Very good","Good","Poor","Good","Good","I don't remember",NA,"Yes","No","Good","Fair","Poor","Good","N/A","Not very helpful","Somewhat helpful","Somewhat helpful","Very helpful","Somewhat helpful","Somewhat helpful","Yes","Yes","Somewhat helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Yes","Somewhat helpful","No","Yes","Somewhat helpful","4","1","Yes","0","1","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education","4-year college or university","Scientists, Social Scientists","Yes","Maybe","Maybe","Maybe","Excellent","Very good","Very good","Good","Poor","Good","Good","Ambivalent","Agree","Disagree","Disagree","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"312","College F","STEM","Good","Very good","Very good","Agree","Strongly Agree","Agree","Strongly Agree","Probably","Maybe","Definitely","Good","Good","Good","Very good","Excellent","Very good","Very good","Yes, and I attended","Very Effective","Yes","No","Very Good","Excellent","Excellent","Excellent","Excellent","Somewhat helpful","Very helpful","Not very helpful","Very helpful","Somewhat helpful","Not very helpful","Yes","No","Very helpful","Somewhat helpful","Not at all helpful","Very helpful","Very helpful","Somewhat helpful","Yes","Very helpful","Yes","Yes","Very helpful","10","6","Yes","4","1","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Probably","Probably","Probably","Good","Good","Good","Very good","Very good","Good","Very good","Agree","Strongly Agree","Agree","Strongly Agree","Not an obstacle","Not an obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not applicable",1,1,2,5,"Non-Underrespresented Group"
"313","College C","Non-STEM","Very good","Good","Good","Agree","Agree","Agree","Agree","Probably","Probably","Probably","Excellent","Very good","Good","Very good","Fair","Good","Very good","Yes, and I attended","Somewhat Effective","Yes","No","Very Good","Very Good","Good","Good","N/A","Very helpful","Very helpful","Very helpful","Somewhat helpful","Not very helpful","Very helpful","Yes","Yes","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Somewhat helpful","Somewhat helpful","Somewhat helpful","Yes","Somewhat helpful","Yes","No",NA,"3","10","Yes","2","1","Seeking position but have no specific prospects","Education","4-year college or university",NA,NA,"Probably","Probably","Maybe","Very good","Very good","Very good","Good","Fair","Good","Very good","Agree","Agree","Agree","Agree","A major obstacle","A major obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"314","College C","STEM","Very good","Very good","Very good","Strongly Agree","Strongly Agree","Agree","Agree","Definitely","Definitely","Definitely","Good","Good","Very good","Very good","Excellent","Good","Very good","Yes, and I attended","Neither Effective nor Ineffective","Yes","No","Excellent","Excellent","Very Good","Very Good","Very Good","Somewhat helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Not very helpful","Not very helpful",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","Yes","Yes","Very helpful","7","5","Yes","2","3","Have signed contract or made definite commitment for a ""postdoc"" or other work","Technology",NA,"Other Occupations","Yes","Definitely","Probably","Definitely","Good","Good","Very good","Very good","Very good","Good","Very good","Strongly Agree","Agree","Agree","Strongly Agree","Not an obstacle","Not an obstacle","Not an obstacle","A minor obstacle","A minor obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"315","College C","STEM","Excellent","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Definitely","Definitely","Definitely","Excellent","Excellent","Excellent","Excellent","Excellent","Good","Excellent","Yes, and I attended","Very Effective","Yes","Yes","Excellent","Excellent","Excellent","Excellent","N/A","Very helpful","Very helpful","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Yes","Yes","N/A - I did not receive advice on this","Very helpful","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Yes","Very helpful","Yes","Yes","Very helpful","5","3","Yes","12","3","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education","University-affiliated research institute","Scientists, Social Scientists","Yes","Definitely","Definitely","Definitely","Excellent","Excellent","Excellent","Excellent","Excellent","Very good","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Not an obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"316","College C","STEM","Very good","Very good","Very good","Strongly Agree","Ambivalent","Ambivalent","Strongly Agree","Probably","Definitely","Definitely","Very good","Good","Very good","Excellent","Very good",NA,"Very good","No",NA,"Yes","Yes","Excellent","Excellent","Excellent","Good","N/A","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Somewhat helpful","Yes","Yes","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Very helpful","N/A - I did not receive advice on this","Somewhat helpful","Yes","Very helpful","No","Yes","Somewhat helpful","3","4","Yes","6","0","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Probably","Definitely","Definitely","Very good","Good","Very good","Very good","Good","Good","Very good","Strongly Agree","Ambivalent","Ambivalent","Strongly Agree","Not an obstacle","Not an obstacle","Not an obstacle","A minor obstacle","A minor obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"317","College C","STEM","Good","Good","Good","Agree","Agree","Agree","Strongly Agree","Maybe","Definitely","Maybe","Fair","Fair","Good","Good","Very good","Good","Good","Yes, and I attended","Somewhat Effective","Yes","Yes","Good","Good","Good","Good","Good","Not very helpful","Somewhat helpful","Somewhat helpful","Not very helpful","Not very helpful","Somewhat helpful","Yes","Yes","Very helpful","Very helpful","Somewhat helpful","Very helpful","Not very helpful","Not very helpful","Yes","Not very helpful","No","Yes","Very helpful","0","7","Yes","3","1","Returning to, or continuing in, predoctoral employment","Non-profit and membership organizations",NA,"Healthcare Practitioners","Yes","Probably not","Definitely","Maybe","Fair","Fair","Good","Good","Very good","Fair","Good","Agree","Agree","Agree","Strongly Agree","Not an obstacle","A minor obstacle","A minor obstacle","A minor obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"318","College C","STEM","Excellent","Very good","Very good","Agree","Strongly Agree","Agree","Agree","Probably","Definitely","Probably","Very good","Very good","Excellent","Very good","Very good","Very good","Very good","Yes, and I attended","Neither Effective nor Ineffective","Yes","Yes","Very Good","Very Good","Good","Very Good","N/A","Somewhat helpful","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Very helpful","Yes","Yes","Somewhat helpful","Somewhat helpful","Very helpful","Very helpful","Very helpful","Somewhat helpful","Yes","Somewhat helpful","No","Yes","Very helpful","10","6","Yes","0","1","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services",NA,"Computer and Mathematical Occupations","No","Probably","Definitely","Probably","Excellent","Excellent","Very good","Good","Good","Good","Very good","Strongly Agree","Strongly Agree","Agree","Agree","A minor obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not applicable",1,1,2,5,"Non-Underrespresented Group"
"319","College C","STEM","Good","Fair","Fair","Ambivalent","Disagree","Ambivalent","Disagree","Probably not","Definitely","Maybe","Good","Good","Fair","Good","Very good","Poor","Fair","Yes, and I attended","Somewhat Ineffective","Yes","No","Very Good","Very Good","Good","Very Good","Very Good","Somewhat helpful","Not very helpful","Very helpful","N/A - I did not receive advice on this","Not very helpful","N/A - I did not receive advice on this","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Not very helpful","Yes","Yes","Very helpful","0","2","Yes","4","4","Negotiating with one or more specific organizations","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Probably not","Definitely","Maybe","Good","Good","Fair","Fair","Very good","Poor","Fair","Ambivalent","Disagree","Disagree","Ambivalent","A major obstacle","A minor obstacle","A major obstacle","A major obstacle","Not an obstacle","Not applicable",1,1,2,5,"Non-Underrespresented Group"
"320","College I","Non-STEM","Excellent","Poor","Good","Agree","Agree","Disagree","Ambivalent","Definitely not","Probably","Definitely not","Very good","Excellent","Fair","Very good","Good","Poor","Good","No",NA,"Yes","Yes","Fair","N/A","N/A","Fair","N/A","Very helpful","Somewhat helpful","Somewhat helpful","Very helpful","N/A - I did not receive advice on this","Somewhat helpful","Yes","Yes","Very helpful","Somewhat helpful","Not very helpful","Very helpful","Somewhat helpful","Very helpful","Yes","Not at all helpful","No","Yes","Not at all helpful","4","23","Yes","4","0","Returning to, or continuing in, predoctoral employment","Education","4-year college or university","Other Occupations","Yes","Definitely not","Probably","Probably not","Very good","Very good","Fair","Good","Good","Fair","Good","Agree","Agree","Disagree","Ambivalent","A minor obstacle","A minor obstacle","Not an obstacle","A minor obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"321","College C","STEM","Excellent","Good","Very good","Ambivalent","Agree","Agree","Agree","Definitely","Definitely","Probably","Good","Very good","Very good","Good","Fair","Good","Very good","Yes, and I attended","Somewhat Effective","Yes","Yes","Very Good","Good","Very Good","Good","Very Good","Very helpful","Very helpful","Very helpful","Very helpful","Somewhat helpful","Very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","Yes","Yes","Very helpful","5","2","Yes","6","2","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Definitely","Definitely","Probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A minor obstacle","A minor obstacle","A minor obstacle","A minor obstacle","A minor obstacle","Not an obstacle",2,1,2,4,"Non-Underrespresented Group"
"322","College B","STEM","Very good","Very good","Very good","Agree","Agree","Agree","Agree","Probably","Probably","Probably","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Yes, and I attended","Somewhat Effective","Yes","Yes","Excellent","Excellent","Excellent","Very Good","Excellent","Very helpful","Very helpful","N/A - I did not receive advice on this","Very helpful","Very helpful","Very helpful","Yes","No","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","No",NA,"No","No",NA,"1","12","Yes","10","3","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","No","Probably","Probably","Probably","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Agree","Agree","Agree","Agree","A minor obstacle","A minor obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"323","College B","STEM","Very good","Fair","Very good","Agree","Strongly Agree","Agree","Strongly Agree","Definitely","Definitely","Definitely","Good","Good","Very good","Good","Excellent","Good","Very good","Yes, but I did not attend",NA,"Yes","No","Excellent","Excellent","Excellent","Excellent","Excellent","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","No",NA,NA,NA,NA,NA,NA,NA,"No",NA,"No","No",NA,"5","5","No","1","2","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education","4-year college or university","Education, Training, and Library Occupations","Yes","Definitely","Definitely","Definitely","Good","Good","Good","Good","Excellent","Good","Very good","Agree","Agree","Ambivalent","Agree","A minor obstacle","Not an obstacle","A major obstacle","A minor obstacle","Not an obstacle","Not applicable",2,1,2,4,"Non-Underrespresented Group"
"324","College C","STEM","Very good","Good","Very good","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Probably","Definitely","Definitely","Very good","Excellent","Excellent","Very good","Very good","Very good","Excellent","Yes, and I attended","Somewhat Effective","Yes","No","Excellent","Excellent","Excellent","Excellent","Excellent","Very helpful","Very helpful","Very helpful","Very helpful","Not very helpful","Somewhat helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","Yes","Yes","Very helpful","5","3","Yes","4","0","Have signed contract or made definite commitment for a ""postdoc"" or other work",NA,NA,"Scientists, Social Scientists","Yes","Probably","Definitely","Definitely","Very good","Very good","Very good","Very good","Very good","Good","Excellent","Agree","Strongly Agree","Agree","Strongly Agree","Not an obstacle","Not an obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"325","College C","STEM","Excellent","Fair","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Definitely","Definitely","Definitely","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","I don't remember",NA,"Yes","Yes","N/A","Excellent","Excellent","N/A","N/A","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","No","Yes","Very helpful","5","20","Yes","5","3","Have signed contract or made definite commitment for a ""postdoc"" or other work",NA,NA,"Computer and Mathematical Occupations","No","Definitely","Definitely","Definitely","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"326","College F","STEM","Excellent","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Definitely","Definitely","Definitely","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Yes, and I attended","Somewhat Effective","Yes","Yes","Very Good","Very Good","Excellent","Excellent","Excellent","Very helpful","Somewhat helpful","Somewhat helpful","Very helpful","Very helpful","Very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","No","Yes","Very helpful",NA,NA,NA,NA,NA,"Seeking position but have no specific prospects","Research, Consulting, and Legal Services","Computer Systems Design and Related Services","Computer and Mathematical Occupations","Yes","Definitely","Definitely","Definitely","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","A major obstacle",1,2,2,1,"Non-Underrespresented Group"
"327","College B","STEM","Very good","Very good","Very good","Agree","Agree","Ambivalent","Agree","Maybe","Definitely","Maybe","Very good","Very good","Very good","Very good","Excellent","Very good","Very good","Yes, and I attended","Somewhat Effective","Yes","Yes","Excellent","Very Good","Very Good","Very Good","Good","Somewhat helpful","Somewhat helpful","Somewhat helpful","Very helpful","Very helpful","Very helpful","Yes","Yes","Somewhat helpful","Somewhat helpful","Somewhat helpful","Very helpful","Very helpful","Very helpful","No",NA,"No","No",NA,"3","4","Yes","2","0","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services",NA,"Scientists, Social Scientists","Yes","Probably","Definitely","Maybe","Good","Good","Very good","Very good","Excellent","Very good","Very good","Agree","Strongly Agree","Ambivalent","Strongly Agree","A minor obstacle","A minor obstacle","Not an obstacle","Not an obstacle","A minor obstacle","Not an obstacle",2,1,2,1,"Non-Underrespresented Group"
"328","College C","STEM","Very good","Good","Very good","Agree","Agree","Agree","Agree","Maybe","Definitely","Probably not","Very good","Very good","Good","Excellent","Very good","Fair","Good","Yes, and I attended","Neither Effective nor Ineffective","Yes","Yes","Good","Good","Very Good","Good","Very Good","Very helpful","Very helpful","Somewhat helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Somewhat helpful","Yes","Yes","N/A - I did not receive advice on this","Very helpful","Very helpful","Very helpful","N/A - I did not receive advice on this","Very helpful","Yes","Very helpful","Yes","Yes","Very helpful","4","1","No","0","3","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education",NA,"Scientists, Social Scientists","Yes","Maybe","Definitely","Probably not","Very good","Very good","Very good","Excellent","Very good","Good","Good","Agree","Agree","Agree","Agree","Not an obstacle","Not an obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"329","College F","STEM","Excellent","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Definitely","Definitely","Definitely","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Yes, and I attended","Very Effective","Yes","No","Excellent","Excellent","Excellent","Excellent","Excellent","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","No","Yes","Very helpful","1","1","Yes","2","3","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education","4-year college or university","Other Occupations","Yes","Definitely","Definitely","Definitely","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",2,1,2,6,"Non-Underrespresented Group"
"330","College F","STEM","Very good","Good","Good","Ambivalent","Agree","Agree","Agree","Maybe","Maybe","Probably","Very good","Very good","Very good","Very good","Fair","Good","Good","Yes, and I attended","Somewhat Effective","Yes","Yes","Good","Good","Good","Good","Fair","Very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Not very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Not very helpful","No","Yes","Somewhat helpful","3","3","Yes","4","1","Negotiating with one or more specific organizations","Technology",NA,"Scientists, Social Scientists","Yes","Probably","Maybe","Probably","Very good","Very good","Very good","Very good","Good","Good","Good","Agree","Agree","Agree","Agree","A minor obstacle","A minor obstacle","A minor obstacle","A minor obstacle","A minor obstacle","A minor obstacle",2,2,2,5,"Non-Underrespresented Group"
"331","College C","STEM","Excellent","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Definitely","Definitely","Definitely","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Yes, and I attended","Very Effective","Yes","No","Good","Good","Excellent","Excellent","Good","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Very helpful","Yes","Yes","Very helpful","4","6","Yes","1","2","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education","University-affiliated research institute","Computer and Mathematical Occupations","No","Definitely","Definitely","Definitely","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Agree","Agree","Agree","Agree","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle","A minor obstacle","Not an obstacle",1,1,2,1,"Non-Underrespresented Group"
"332","College C","STEM","Very good","Excellent","Excellent","Strongly Agree","Strongly Agree","Agree","Agree","Definitely","Definitely","Definitely","Very good","Very good","Good","Excellent","Very good","Good","Very good","Yes, and I attended","Very Effective","Yes","Yes","Excellent","Excellent","Excellent","Excellent","N/A","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Very helpful","Somewhat helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","Yes","Yes","Very helpful","2","3","Yes","3","3","Have signed contract or made definite commitment for a ""postdoc"" or other work","Public Administration (Government)","Human Resource Programs (Education, Public Health Programs)","Computer and Mathematical Occupations","Yes","Definitely","Definitely","Definitely","Very good","Excellent","Good","Excellent","Very good","Good","Very good","Strongly Agree","Strongly Agree","Agree","Agree","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not applicable",1,1,2,1,"Non-Underrespresented Group"
"333","College C","STEM","Fair","Good","Fair","Disagree","Agree","Agree","Strongly Agree","Probably not","Definitely","Probably not","Fair","Fair","Poor","Good","Good","Poor","Fair","Yes, and I attended","Neither Effective nor Ineffective","Yes","No","Fair","Very Good","Excellent","Very Good","Very Good","Not very helpful","Not very helpful","Not very helpful","Not at all helpful","Not at all helpful","Not at all helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Very helpful","Yes","No",NA,"10","15","Yes","7","2","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education","4-year college or university","Scientists, Social Scientists","Yes","Probably not","Definitely","Probably not","Fair","Fair","Poor","Good","Good","Poor","Fair","Disagree","Disagree","Agree","Strongly Agree","Not an obstacle","A minor obstacle","A major obstacle","Not an obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
